iter,t,x,y,theta,vx,vy
150,3.750000,856.070813,322.070813,0.081821,1.793978,0.147114
151,3.775000,856.702158,322.702158,0.785398,1.272792,1.272792
152,3.800000,857.471645,323.000000,0.369307,1.678640,0.649744
153,3.825000,858.364502,323.000000,0.000000,1.800000,0.000000
154,3.850000,859.257359,323.000000,0.000000,1.800000,0.000000
155,3.875000,860.150216,323.000000,0.000000,1.800000,0.000000
156,3.900000,861.043074,323.000000,0.000000,1.800000,0.000000
157,3.925000,861.935931,323.000000,0.000000,1.800000,0.000000
158,3.950000,862.828788,323.000000,0.000000,1.800000,0.000000
159,3.975000,863.721645,323.000000,0.000000,1.800000,0.000000
160,4.000000,864.434519,323.434519,0.547398,1.536987,0.936841
161,4.025000,865.093146,324.000000,0.709452,1.365694,1.172552
162,4.050000,865.986003,324.000000,0.000000,1.800000,0.000000
163,4.075000,866.878860,324.000000,0.000000,1.800000,0.000000
164,4.100000,867.771717,324.000000,0.000000,1.800000,0.000000
165,4.125000,868.664574,324.000000,0.000000,1.800000,0.000000
166,4.150000,869.557431,324.000000,0.000000,1.800000,0.000000
167,4.175000,870.450289,324.000000,0.000000,1.800000,0.000000
168,4.200000,871.343146,324.000000,0.000000,1.800000,0.000000
169,4.225000,872.236003,324.000000,0.000000,1.800000,0.000000
170,4.250000,873.128860,324.000000,0.000000,1.800000,0.000000
171,4.275000,874.021717,324.000000,0.000000,1.800000,0.000000
172,4.300000,874.914574,324.000000,0.000000,1.800000,0.000000
173,4.325000,875.807431,324.000000,0.000000,1.800000,0.000000
174,4.350000,876.700289,324.000000,0.000000,1.800000,0.000000
175,4.375000,877.593146,324.000000,0.000000,1.800000,0.000000
176,4.400000,878.486003,324.000000,0.000000,1.800000,0.000000
177,4.425000,879.378860,324.000000,0.000000,1.800000,0.000000
178,4.450000,880.271717,324.000000,0.000000,1.800000,0.000000
179,4.475000,881.164574,324.000000,0.000000,1.800000,0.000000
180,4.500000,882.057431,324.000000,0.000000,1.800000,0.000000
181,4.525000,882.950289,324.000000,0.000000,1.800000,0.000000
182,4.550000,883.596194,324.596194,0.745397,1.322673,1.220875
183,4.575000,884.321789,325.000000,0.507833,1.572841,0.875312
184,4.600000,885.214646,325.000000,0.000000,1.800000,0.000000
185,4.625000,886.107504,325.000000,0.000000,1.800000,0.000000
186,4.650000,887.000361,325.000000,0.000000,1.800000,0.000000
187,4.675000,887.893218,325.000000,0.000000,1.800000,0.000000
188,4.700000,888.786075,325.000000,0.000000,1.800000,0.000000
189,4.725000,889.678932,325.000000,0.000000,1.800000,0.000000
190,4.750000,890.571789,325.000000,0.000000,1.800000,0.000000
191,4.775000,891.464646,325.000000,0.000000,1.800000,0.000000
192,4.800000,892.357504,325.000000,0.000000,1.800000,0.000000
193,4.825000,893.250361,325.000000,0.000000,1.800000,0.000000
194,4.850000,894.143218,325.000000,0.000000,1.800000,0.000000
195,4.875000,895.036075,325.000000,0.000000,1.800000,0.000000
196,4.900000,895.928932,325.000000,0.000000,1.800000,0.000000
197,4.925000,896.821789,325.000000,0.000000,1.800000,0.000000
198,4.950000,897.714646,325.000000,0.000000,1.800000,0.000000
199,4.975000,898.607504,325.000000,0.000000,1.800000,0.000000
200,5.000000,899.500361,325.000000,0.000000,1.800000,0.000000
201,5.025000,900.393218,325.000000,0.000000,1.800000,0.000000
202,5.050000,901.286075,325.000000,0.000000,1.800000,0.000000
203,5.075000,902.126524,325.126524,0.149421,1.779943,0.267959
204,5.100000,902.757870,325.757870,0.785398,1.272792,1.272792
205,5.125000,903.550433,326.000000,0.296498,1.721458,0.525911
206,5.150000,904.443290,326.000000,0.000000,1.800000,0.000000
